abl_id,model_name,model_group,description,occlusion_level,mAP,rank1,rank5,rank10
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,0,72.8176,94.6961,97.9142,98.9869
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,3,72.3157,93.8617,97.9738,98.9869
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,6,71.9098,93.7425,97.6162,98.7485
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,9,71.3752,92.9678,97.497,98.5697
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,12,70.894,93.2062,97.5566,98.8677
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,15,69.793,92.1931,97.0203,98.3909
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,18,68.7895,90.9416,96.4243,98.1526
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,21,68.2155,91.0608,96.3647,97.795
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,24,67.2313,89.9285,95.888,97.7354
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,27,65.5309,88.7366,95.1132,97.7354
ABL-02,ViT+GCN 4nb L1,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,30,65.1272,88.5578,94.5173,96.7223
