abl_id,model_name,model_group,description,occlusion_level,mAP,rank1,rank5,rank10
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,0,72.3393,93.9213,97.5566,98.8081
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,3,71.7216,93.385,97.3182,98.5697
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,6,71.4294,93.3254,97.4374,98.6293
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,9,70.8486,91.8951,97.0203,98.3313
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,12,70.4025,92.3719,96.7819,98.3909
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,15,69.6115,92.3719,96.9011,98.2718
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,18,68.677,91.0608,96.1859,97.9142
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,21,67.8862,90.9416,95.9476,97.5566
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,24,67.1726,89.273,95.59,97.9142
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,27,65.4607,89.273,95.7092,96.8415
ABL-11,ViT+GCN 4nb L2,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,30,64.7639,87.1871,94.2789,96.9607
