model_name,abl_id,model_group,description,occlusion_level,mAP,rank1,rank5,rank10
ViT+GCN 4nb L1,ABL-02,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,27,65.5935,88.2002,94.994,97.1394
ViT+GCN 4nb L1,ABL-02,ViT-Base,ViT-Base-768 + 4-neighbor + 1 layer GCN,30,64.4848,87.4851,95.1728,97.497
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,0,72.7077,94.1001,97.3182,98.5101
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,3,72.2221,93.8617,97.2586,98.5697
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,6,72.0243,93.087,96.7819,98.7485
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,9,71.2583,92.7294,96.9607,98.6889
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,12,70.7115,92.8486,96.6031,98.4505
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,15,69.8124,92.2527,96.4839,98.1526
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,18,69.3019,91.7759,96.4839,98.0334
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,21,68.1207,90.6436,95.888,97.8546
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,24,67.3416,89.8093,96.0072,97.6162
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,27,65.7781,88.4386,95.4708,97.6758
ViT+GCN 4nb L2,ABL-11,ViT-Base,ViT-Base-768 + 4-neighbor + 2 layer GCN,30,65.0148,87.8427,94.3981,96.4243
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,0,72.4726,94.5173,97.6758,99.0465
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,3,71.9302,94.1001,97.9142,98.8677
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,6,71.6552,93.5638,97.6758,98.9273
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,9,71.0699,93.6234,97.3778,98.6889
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,12,70.463,93.087,97.3182,98.6889
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,15,69.7673,92.789,97.0799,98.8081
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,18,68.6906,91.18,97.2586,98.4505
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,21,67.8788,91.0012,96.4839,98.4505
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,24,67.0572,90.286,96.4243,97.9142
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,27,65.6073,89.273,95.1728,97.6758
ViT+GCN kNN L1,ABL-15,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,30,64.7606,88.7962,94.6365,97.0203
